Word,AoA,category
choo choo,19,sounds
cockadoodledoo,25,sounds
grrr,9,sounds
meow,17,sounds
ouch,18,sounds
quack quack,18,sounds
vroom,17,sounds
woof woof,14,sounds
yum yum,9,sounds
alligator,25,animals
animal,24,animals
ant,25,animals
bear,19,animals
bird,17,animals
bug,21,animals
bunny,20,animals
butterfly,23,animals
cat,18,animals
chicken,22,animals
cow,20,animals
deer,27,animals
dog,11,animals
donkey,30,animals
duck,17,animals
elephant,22,animals
fish,19,animals
frog,22,animals
giraffe,24,animals
goose,28,animals
hen,32,animals
horse,20,animals
kitty,18,animals
lamb,27,animals
lion,23,animals
monkey,21,animals
moose,31,animals
mouse,23,animals
owl,23,animals
pig,20,animals
pony,28,animals
puppy,20,animals
rooster,28,animals
sheep,23,animals
squirrel,25,animals
teddybear,23,animals
tiger,24,animals
turkey,27,animals
turtle,23,animals
wolf,29,animals
zebra,25,animals
airplane,20,vehicles
bicycle,21,vehicles
boat,20,vehicles
bus,20,vehicles
firetruck,24,vehicles
helicopter,24,vehicles
motorcycle,25,vehicles
stroller,25,vehicles
tractor,25,vehicles
train,21,vehicles
tricycle,30,vehicles
truck,19,vehicles
balloon,18,toys
bat,26,toys
bubbles,18,toys
chalk,28,toys
crayon,23,toys
game,26,toys
glue,29,toys
pen,23,toys
pencil,25,toys
play dough,27,toys
present,25,toys
puzzle,24,toys
story,25,toys
toy,21,toys
apple,18,food_drink
banana,16,food_drink
bread,21,food_drink
butter,24,food_drink
cake,22,food_drink
candy,22,food_drink
carrots,24,food_drink
cereal,22,food_drink
cheerios,23,food_drink
cheese,18,food_drink
chicken,22,food_drink
chocolate,25,food_drink
coffee,24,food_drink
coke,29,food_drink
cookie,18,food_drink
corn,24,food_drink
cracker,19,food_drink
donut,26,food_drink
drink,21,food_drink
egg,22,food_drink
fish,22,food_drink
food,23,food_drink
french fries,23,food_drink
grapes,22,food_drink
green beans,28,food_drink
gum,27,food_drink
hamburger,24,food_drink
ice,22,food_drink
ice cream,22,food_drink
jello,28,food_drink
jelly,27,food_drink
juice,18,food_drink
lollipop,27,food_drink
meat,26,food_drink
melon,28,food_drink
muffin,26,food_drink
nuts,27,food_drink
orange,22,food_drink
pancake,24,food_drink
peas,24,food_drink
peanut butter,24,food_drink
pickle,26,food_drink
pizza,21,food_drink
popcorn,24,food_drink
popsicle,25,food_drink
potato chip,24,food_drink
potato,25,food_drink
pudding,29,food_drink
pumpkin,26,food_drink
raisin,24,food_drink
salt,29,food_drink
sandwich,25,food_drink
soda,26,food_drink
soup,24,food_drink
spaghetti,24,food_drink
strawberry,24,food_drink
toast,23,food_drink
tuna,0,food_drink
vanilla,32,food_drink
vitamins,27,food_drink
water,19,food_drink
belt,26,clothing
bib,23,clothing
boots,22,clothing
button,22,clothing
coat,22,clothing
diaper,19,clothing
dress,25,clothing
gloves,27,clothing
hat,18,clothing
jacket,23,clothing
jeans,28,clothing
mittens,28,clothing
necklace,26,clothing
pajamas,23,clothing
pants,22,clothing
shirt,21,clothing
shorts,25,clothing
slipper,27,clothing
sneaker,31,clothing
snowsuit,0,clothing
sock,22,clothing
tights,32,clothing
underpants,27,clothing
zipper,24,clothing
ankle,31,body_parts
arm,21,body_parts
belly button,20,body_parts
buttocks,22,body_parts
cheek,23,body_parts
chin,23,body_parts
face,23,body_parts
finger,21,body_parts
foot,21,body_parts
hair,19,body_parts
hand,21,body_parts
head,21,body_parts
knee,22,body_parts
leg,23,body_parts
lips,25,body_parts
owie,19,body_parts
penis,27,body_parts
shoulder,27,body_parts
tongue,23,body_parts
tooth,22,body_parts
tummy,21,body_parts
vagina,35,body_parts
basket,25,household
blanket,20,household
bottle,19,household
bowl,22,household
box,22,household
broom,23,household
brush,22,household
bucket,26,household
camera,25,household
can,27,household
clock,23,household
comb,25,household
cup,19,household
dish,27,household
fork,21,household
garbage,26,household
glass,25,household
glasses,23,household
hammer,26,household
keys,23,household
knife,25,household
lamp,28,household
light,20,household
medicine,24,household
money,23,household
mop,30,household
nail,28,household
napkin,24,household
paper,22,household
penny,26,household
picture,24,household
pillow,22,household
plant,27,household
plate,24,household
purse,25,household
radio,27,household
scissors,25,household
soap,22,household
spoon,19,household
tape,26,household
telephone,21,household
tissue,25,household
toothbrush,21,household
towel,23,household
tray,32,household
vacuum,24,household
walker,36,household
watch,24,household
basement,0,furniture_rooms
bathroom,23,furniture_rooms
bathtub,22,furniture_rooms
bed,20,furniture_rooms
bedroom,25,furniture_rooms
bench,31,furniture_rooms
chair,20,furniture_rooms
closet,26,furniture_rooms
couch,24,furniture_rooms
crib,25,furniture_rooms
door,20,furniture_rooms
drawer,27,furniture_rooms
dryer,28,furniture_rooms
garage,26,furniture_rooms
high chair,26,furniture_rooms
kitchen,24,furniture_rooms
living room,27,furniture_rooms
oven,27,furniture_rooms
play pen,0,furniture_rooms
porch,31,furniture_rooms
potty,20,furniture_rooms
rocking chair,27,furniture_rooms
refrigerator,26,furniture_rooms
room,24,furniture_rooms
shower,23,furniture_rooms
sink,25,furniture_rooms
sofa,38,furniture_rooms
stairs,25,furniture_rooms
stove,26,furniture_rooms
table,23,furniture_rooms
TV,21,furniture_rooms
window,25,furniture_rooms
backyard,27,outside
cloud,25,outside
flag,26,outside
flower,20,outside
garden,29,outside
grass,23,outside
hose,27,outside
ladder,27,outside
lawn mower,27,outside
moon,21,outside
pool,23,outside
rain,22,outside
rock,22,outside
roof,29,outside
sandbox,27,outside
shovel,26,outside
sidewalk,28,outside
sky,24,outside
slide,22,outside
snow,25,outside
snowman,27,outside
sprinkler,29,outside
star,22,outside
stick,24,outside
stone,32,outside
street,25,outside
sun,23,outside
swing,21,outside
tree,20,outside
water,19,outside
wind,26,outside
beach,27,places
camping,0,places
circus,33,places
downtown,0,places
farm,28,places
gas station,29,places
home,21,places
house,22,places
movie,27,places
park,23,places
party,26,places
picnic,28,places
playground,28,places
school,23,places
store,23,places
woods,34,places
work,24,places
yard,27,places
zoo,26,places
aunt,25,people
baby,16,people
babysitter,0,people
boy,23,people
brother,27,people
child,0,people
clown,27,people
cowboy,31,people
doctor,25,people
fireman,28,people
friend,27,people
grandma,18,people
grandpa,18,people
lady,28,people
mailman,28,people
man,25,people
nurse,32,people
people,27,people
person,0,people
police,29,people
teacher,28,people
uncle,26,people
bath,18,games_routines
breakfast,24,games_routines
call,23,games_routines
dinner,24,games_routines
give me five!,25,games_routines
gonna get you!,24,games_routines
go potty,22,games_routines
hi,0,games_routines
lunch,24,games_routines
nap,22,games_routines
pattycake,25,games_routines
peekaboo,19,games_routines
please,19,games_routines
shopping,26,games_routines
snack,24,games_routines
so big!,26,games_routines
thank you,18,games_routines
this little piggy,27,games_routines
turn around,26,games_routines
yes,18,games_routines
bite,22,action_words
blow,24,action_words
break,24,action_words
bring,27,action_words
build,27,action_words
bump,26,action_words
buy,27,action_words
carry,25,action_words
catch,25,action_words
chase,28,action_words
clap,23,action_words
clean,24,action_words
climb,25,action_words
close,24,action_words
cook,25,action_words
cover,28,action_words
cry,23,action_words
cut,26,action_words
dance,23,action_words
draw,25,action_words
drink,21,action_words
drive,25,action_words
drop,26,action_words
dry,26,action_words
dump,30,action_words
eat,20,action_words
fall,23,action_words
feed,26,action_words
find,25,action_words
finish,28,action_words
fit,29,action_words
fix,25,action_words
get,24,action_words
give,25,action_words
go,19,action_words
hate,0,action_words
have,26,action_words
hear,27,action_words
help,22,action_words
hide,25,action_words
hit,24,action_words
hold,25,action_words
hug,21,action_words
hurry,27,action_words
jump,23,action_words
kick,24,action_words
kiss,21,action_words
knock,25,action_words
lick,27,action_words
like,26,action_words
listen,28,action_words
look,24,action_words
love,23,action_words
make,26,action_words
open,22,action_words
paint,26,action_words
pick,28,action_words
play,22,action_words
pour,28,action_words
pretend,31,action_words
pull,26,action_words
push,24,action_words
put,27,action_words
read,22,action_words
ride,24,action_words
rip,33,action_words
run,23,action_words
say,27,action_words
see,23,action_words
shake,27,action_words
share,26,action_words
show,27,action_words
sing,24,action_words
sit,21,action_words
skate,33,action_words
sleep,22,action_words
slide,24,action_words
smile,27,action_words
spill,26,action_words
splash,26,action_words
stand,26,action_words
stay,26,action_words
stop,22,action_words
sweep,26,action_words
swim,24,action_words
swing,23,action_words
take,27,action_words
talk,26,action_words
taste,28,action_words
tear,30,action_words
think,31,action_words
throw,24,action_words
tickle,23,action_words
touch,26,action_words
wait,26,action_words
wake,27,action_words
walk,22,action_words
wash,23,action_words
watch,26,action_words
wipe,26,action_words
work,25,action_words
write,27,action_words
all gone,19,descriptive_words
asleep,24,descriptive_words
awake,26,descriptive_words
bad,25,descriptive_words
better,27,descriptive_words
big,22,descriptive_words
black,26,descriptive_words
blue,23,descriptive_words
broken,23,descriptive_words
brown,27,descriptive_words
careful,26,descriptive_words
clean,23,descriptive_words
cold,21,descriptive_words
cute,28,descriptive_words
dark,26,descriptive_words
dirty,22,descriptive_words
dry,26,descriptive_words
empty,27,descriptive_words
fast,26,descriptive_words
fine,31,descriptive_words
first,28,descriptive_words
full,27,descriptive_words
gentle,29,descriptive_words
good,24,descriptive_words
green,24,descriptive_words
happy,24,descriptive_words
hard,28,descriptive_words
heavy,25,descriptive_words
high,27,descriptive_words
hot,18,descriptive_words
hungry,24,descriptive_words
hurt,24,descriptive_words
last,33,descriptive_words
little,25,descriptive_words
long,30,descriptive_words
loud,26,descriptive_words
mad,28,descriptive_words
naughty,0,descriptive_words
new,28,descriptive_words
nice,25,descriptive_words
noisy,29,descriptive_words
old,30,descriptive_words
orange,24,descriptive_words
poor,0,descriptive_words
quiet,27,descriptive_words
red,24,descriptive_words
sad,27,descriptive_words
scared,26,descriptive_words
sick,26,descriptive_words
sleepy,25,descriptive_words
slow,29,descriptive_words
soft,26,descriptive_words
sticky,26,descriptive_words
stuck,26,descriptive_words
thirsty,25,descriptive_words
tiny,31,descriptive_words
tired,26,descriptive_words
wet,22,descriptive_words
white,27,descriptive_words
windy,27,descriptive_words
yellow,24,descriptive_words
yucky,22,descriptive_words
after,30,time_words
before,32,time_words
day,29,time_words
later,28,time_words
morning,27,time_words
night,24,time_words
now,25,time_words
time,31,time_words
today,29,time_words
tomorrow,29,time_words
tonight,31,time_words
yesterday,46,time_words
he,28,pronouns
her,30,pronouns
hers,34,pronouns
him,30,pronouns
his,31,pronouns
I,24,pronouns
it,26,pronouns
me,22,pronouns
mine,19,pronouns
my,25,pronouns
myself,32,pronouns
our,0,pronouns
she,29,pronouns
that,24,pronouns
their,0,pronouns
them,36,pronouns
these,29,pronouns
they,33,pronouns
this,25,pronouns
those,31,pronouns
us,34,pronouns
we,30,pronouns
you,24,pronouns
your,29,pronouns
yourself,0,pronouns
how,31,question_words
what,24,question_words
when,0,question_words
where,25,question_words
who,28,question_words
why,28,question_words
about,33,locations
above,0,locations
around,31,locations
at,29,locations
away,27,locations
back,26,locations
behind,29,locations
beside,52,locations
by,29,locations
down,19,locations
for,29,locations
here,25,locations
inside,24,locations
into,0,locations
next to,39,locations
of,38,locations
off,21,locations
on,21,locations
on top of,29,locations
out,22,locations
over,27,locations
there,25,locations
to,27,locations
under,27,locations
up,19,locations
with,28,locations
a,27,quantifiers
all,26,quantifiers
a lot,29,quantifiers
an,0,quantifiers
another,28,quantifiers
any,30,quantifiers
each,0,quantifiers
every,35,quantifiers
more,20,quantifiers
much,32,quantifiers
none,32,quantifiers
not,28,quantifiers
other,29,quantifiers
same,32,quantifiers
some,26,quantifiers
the,27,quantifiers
too,26,quantifiers
am,29,helping_verbs
are,30,helping_verbs
be,34,helping_verbs
can,27,helping_verbs
could,37,helping_verbs
did,28,helping_verbs
do,24,helping_verbs
does,0,helping_verbs
don't,26,helping_verbs
gonna,28,helping_verbs
gotta,33,helping_verbs
hafta,29,helping_verbs
is,28,helping_verbs
lemme,26,helping_verbs
need,28,helping_verbs
try,29,helping_verbs
wanna,25,helping_verbs
was,32,helping_verbs
were,0,helping_verbs
will,31,helping_verbs
and,27,connecting_words
because,31,connecting_words
but,33,connecting_words
if,0,connecting_words
so,37,connecting_words
then,0,connecting_words
